time,open,high,low,close,volume
2025-02-12T00:00:00-05:00,231.18,236.92,230.765,236.83,1238524
2025-02-13T00:00:00-05:00,236.97,242.33,235.6,241.49,1214691
2025-02-14T00:00:00-05:00,241.21,245.41,241.21,244.6,1220858
2025-02-18T00:00:00-05:00,244.12,245.15,241.885,244.45,1233762
2025-02-19T00:00:00-05:00,244.67,246.0,243.18,244.9,714274
2025-02-20T00:00:00-05:00,244.925,246.66,244.31,245.84,930650
2025-02-21T00:00:00-05:00,245.91,248.69,245.23,245.68,1444119
2025-02-24T00:00:00-05:00,244.925,248.84,244.53,247.195,1414000
2025-02-25T00:00:00-05:00,247.97,250.0,244.94,247.15,1758675
2025-02-26T00:00:00-05:00,244.3,244.935,239.13,240.38,1375162
2025-02-27T00:00:00-05:00,239.65,242.46,237.16,237.49,1530603
2025-02-28T00:00:00-05:00,237.055,242.08,234.68,241.37,1526227
2025-03-03T00:00:00-05:00,241.8,244.01,236.15,238.095,1341972
2025-03-04T00:00:00-05:00,238.12,240.045,234.7,236.03,1996015
2025-03-05T00:00:00-05:00,235.69,236.53,229.24,235.65,1329895
2025-03-06T00:00:00-05:00,234.46,237.83,233.35,235.35,1877160
2025-03-07T00:00:00-05:00,235.08,241.34,234.86,239.0,1889764
2025-03-10T00:00:00-04:00,235.58,236.15,224.23,227.57,2751093
2025-03-11T00:00:00-04:00,223.65,225.825,217.48,220.92,2426827
2025-03-12T00:00:00-04:00,220.18,221.73,214.93,216.945,2059190
2025-03-13T00:00:00-04:00,215.96,216.795,208.445,209.69,2174496
2025-03-14T00:00:00-04:00,211.29,213.87,209.585,213.36,1460667
2025-03-17T00:00:00-04:00,213.31,215.18,209.98,214.17,1598394
2025-03-18T00:00:00-04:00,214.12,215.13,211.5,212.79,1267492
2025-03-19T00:00:00-04:00,214.21,218.68,213.75,215.32,1228741
2025-03-20T00:00:00-04:00,213.955,217.44,212.22,214.13,1098248
2025-03-21T00:00:00-04:00,211.66,218.84,211.55,218.22,1506309
2025-03-24T00:00:00-04:00,221.0,221.03,218.68,220.34,1325290
2025-03-25T00:00:00-04:00,220.83,224.095,220.09,223.72,986365
2025-03-26T00:00:00-04:00,223.51,225.005,220.52,221.4,1139694
2025-03-27T00:00:00-04:00,221.4,224.99,220.58,223.74,1032394
2025-03-28T00:00:00-04:00,221.665,223.8,217.7,217.82,1154636
2025-03-31T00:00:00-04:00,217.16,224.11,216.25,222.065,2048529
2025-04-01T00:00:00-04:00,219.75,223.48,218.91,223.2,1236713
2025-04-02T00:00:00-04:00,221.315,225.17,221.14,223.8,1160708
2025-04-03T00:00:00-04:00,205.575,207.425,201.255,203.01,3169742
2025-04-04T00:00:00-04:00,193.925,199.87,187.37,188.5,4381706
2025-04-07T00:00:00-04:00,177.31,194.11,174.64,181.58,6095672
2025-04-08T00:00:00-04:00,186.7,190.31,169.255,172.8,4563523
2025-04-09T00:00:00-04:00,172.18,200.57,171.93,198.46,7012998
2025-04-10T00:00:00-04:00,189.065,194.75,183.06,190.63,4357948
2025-04-11T00:00:00-04:00,186.21,199.49,186.21,198.15,2993809
2025-04-14T00:00:00-04:00,211.44,212.87,201.215,202.61,3298316
2025-04-15T00:00:00-04:00,202.01,203.5,199.83,202.14,1578400
2025-04-16T00:00:00-04:00,198.36,200.54,192.38,194.27,1813064
2025-04-17T00:00:00-04:00,197.19,198.82,194.53,196.89,1314801
2025-04-21T00:00:00-04:00,193.11,193.8,189.86,193.25,1282577
2025-04-22T00:00:00-04:00,196.12,201.55,196.035,199.56,1376819
2025-04-23T00:00:00-04:00,206.0,207.94,202.83,204.33,1708419
2025-04-24T00:00:00-04:00,205.05,208.8,202.965,208.2,1120255
2025-04-25T00:00:00-04:00,206.44,209.43,206.44,209.18,964315
2025-04-28T00:00:00-04:00,210.0,211.48,207.48,210.08,831002
2025-04-29T00:00:00-04:00,208.68,212.11,208.39,211.22,819139
2025-04-30T00:00:00-04:00,209.32,213.51,206.68,212.305,939883
2025-05-01T00:00:00-04:00,208.98,214.515,208.98,213.03,1451254
2025-05-02T00:00:00-04:00,206.145,206.99,202.19,205.31,2839089
2025-05-05T00:00:00-04:00,203.09,204.04,198.225,198.86,1924516
2025-05-06T00:00:00-04:00,198.21,200.62,197.36,198.445,1086206
2025-05-07T00:00:00-04:00,199.205,199.4,193.26,196.25,1471338
2025-05-08T00:00:00-04:00,197.75,200.05,194.69,197.45,1416316
2025-05-09T00:00:00-04:00,198.975,200.52,197.54,198.49,767906
2025-05-12T00:00:00-04:00,210.985,211.23,206.75,210.8,1348910
2025-05-13T00:00:00-04:00,210.435,213.38,209.16,212.89,1089189
2025-05-14T00:00:00-04:00,212.34,213.92,210.6,212.3,1020697
2025-05-15T00:00:00-04:00,211.05,212.96,209.55,211.33,1104460
2025-05-16T00:00:00-04:00,212.36,212.42,209.79,211.21,744422
